country	0-14	15-64	over	64
South Africa	29.0	65.7	5.3
South Korea	13.5	72.6	13.9
South Sudan	41.7	54.9	3.4
Spain	14.7	65.9	19.4
Sri Lanka	24.0	65.9	10.1
Sudan	40.8	55.6	3.5
Suriname	26.4	66.6	6.9
Sweden	17.5	62.5	19.9
 Switzerland	14.9	66.7	18.4
Syria	36.6	59.1	4.3
Taiwan	13.12	73.02	13.86
Tajikistan	35.3	61.3	3.5
Tanzania	44.9	52.0	3.1
Thailand	17.3	71.3	11.4
Timor-Leste	43.6	52.8	3.6
Togo	41.6	55.6	2.8
Tonga	35.8	58.3	5.8
Trinidad and Tobago	20.7	69.3	10.0
Tunisia	24.0	68.0	8.0
Turkey	25.0	66.9	8.2
Turkmenistan	30.9	64.8	4.3
Uganda	47.7	50.1	2.2
Ukraine	15.5	68.0	16.5
United Arab Emirates	13.9	85.0	1.1
United Kingdom	17.7	63.8	18.5
United States	18.9	65.7	15.4
Uruguay	21.1	64.3	14.7
US Virgin Islands (US)	20.1	61.3	18.6
Uzbekistan	28.0	67.5	4.5
Vanuatu	36.0	59.7	4.4
Venezuela	27.6	65.8	6.6
Vietnam	23.1	69.8	7.2
Yemen	39.9	57.2	2.9
Zambia	44.8	52.7	2.5
Zimbabwe	41.2	56.0	2.8
